date,origin,destination,mode,passengers,festival,weekend
2025-08-22,Howrah,Kolkata,Rail,15208,0,0
2025-08-22,Howrah,Kolkata,Bus,7145,0,0
2025-08-23,Kharagpur,Midnapore,Rail,10207,0,1
2025-08-23,Kharagpur,Midnapore,Bus,7986,0,1
2025-08-23,Midnapore,Uluberia,Rail,11743,0,1
2025-08-23,Midnapore,Uluberia,Bus,7328,0,1
2025-08-23,Uluberia,Howrah,Rail,11396,0,1
2025-08-23,Uluberia,Howrah,Bus,6101,0,1
2025-08-23,Howrah,Kolkata,Rail,12067,0,1
2025-08-23,Howrah,Kolkata,Bus,5845,0,1
2025-08-24,Kharagpur,Midnapore,Rail,10086,0,1
2025-08-24,Kharagpur,Midnapore,Bus,7383,0,1
2025-08-24,Midnapore,Uluberia,Rail,12182,0,1
2025-08-24,Midnapore,Uluberia,Bus,5477,0,1
2025-08-24,Uluberia,Howrah,Rail,10582,0,1
2025-08-24,Uluberia,Howrah,Bus,5564,0,1
2025-08-24,Howrah,Kolkata,Rail,12465,0,1
2025-08-24,Howrah,Kolkata,Bus,6093,0,1
2025-08-25,Kharagpur,Midnapore,Rail,12128,0,0
2025-08-25,Kharagpur,Midnapore,Bus,6804,0,0
2025-08-25,Midnapore,Uluberia,Rail,14121,0,0
2025-08-25,Midnapore,Uluberia,Bus,6801,0,0
2025-08-25,Uluberia,Howrah,Rail,12425,0,0
2025-08-25,Uluberia,Howrah,Bus,8148,0,0
2025-08-25,Howrah,Kolkata,Rail,15044,0,0
2025-08-25,Howrah,Kolkata,Bus,5608,0,0
2025-08-26,Kharagpur,Midnapore,Rail,12215,0,0
2025-08-26,Kharagpur,Midnapore,Bus,8538,0,0
2025-08-26,Midnapore,Uluberia,Rail,14758,0,0
2025-08-26,Midnapore,Uluberia,Bus,7322,0,0
2025-08-26,Uluberia,Howrah,Rail,12105,0,0
2025-08-26,Uluberia,Howrah,Bus,7100,0,0
2025-08-26,Howrah,Kolkata,Rail,15386,0,0
2025-08-26,Howrah,Kolkata,Bus,6901,0,0
2025-08-27,Kharagpur,Midnapore,Rail,12309,0,0
2025-08-27,Kharagpur,Midnapore,Bus,11699,0,0
2025-08-27,Midnapore,Uluberia,Rail,14400,0,0
2025-08-27,Midnapore,Uluberia,Bus,7386,0,0
2025-08-27,Uluberia,Howrah,Rail,13620,0,0
2025-08-27,Uluberia,Howrah,Bus,8625,0,0
2025-08-27,Howrah,Kolkata,Rail,14764,0,0
2025-08-27,Howrah,Kolkata,Bus,7092,0,0
2025-08-28,Kharagpur,Midnapore,Rail,11536,0,0
2025-08-28,Kharagpur,Midnapore,Bus,7773,0,0
2025-08-28,Midnapore,Uluberia,Rail,13660,0,0
2025-08-28,Midnapore,Uluberia,Bus,6564,0,0
2025-08-28,Uluberia,Howrah,Rail,14505,0,0
2025-08-28,Uluberia,Howrah,Bus,6207,0,0
2025-08-28,Howrah,Kolkata,Rail,15515,0,0
2025-08-28,Howrah,Kolkata,Bus,5242,0,0
2025-08-29,Kharagpur,Midnapore,Rail,11717,0,0
2025-08-29,Kharagpur,Midnapore,Bus,9045,0,0
2025-08-29,Midnapore,Uluberia,Rail,14045,0,0
2025-08-29,Midnapore,Uluberia,Bus,5659,0,0
2025-08-29,Uluberia,Howrah,Rail,12535,0,0
2025-08-29,Uluberia,Howrah,Bus,8652,0,0
2025-08-29,Howrah,Kolkata,Rail,14452,0,0
2025-08-29,Howrah,Kolkata,Bus,6669,0,0
2025-08-30,Kharagpur,Midnapore,Rail,10223,0,1
2025-08-30,Kharagpur,Midnapore,Bus,6268,0,1
2025-08-30,Midnapore,Uluberia,Rail,13176,0,1
2025-08-30,Midnapore,Uluberia,Bus,5945,0,1
2025-08-30,Uluberia,Howrah,Rail,9931,0,1
2025-08-30,Uluberia,Howrah,Bus,6952,0,1
2025-08-30,Howrah,Kolkata,Rail,12328,0,1
2025-08-30,Howrah,Kolkata,Bus,6090,0,1
2025-08-31,Kharagpur,Midnapore,Rail,9796,0,1
2025-08-31,Kharagpur,Midnapore,Bus,6706,0,1
2025-08-31,Midnapore,Uluberia,Rail,12200,0,1
2025-08-31,Midnapore,Uluberia,Bus,6099,0,1
2025-08-31,Uluberia,Howrah,Rail,10387,0,1
2025-08-31,Uluberia,Howrah,Bus,6527,0,1
2025-08-31,Howrah,Kolkata,Rail,12447,0,1
2025-08-31,Howrah,Kolkata,Bus,5092,0,1
2025-09-01,Kharagpur,Midnapore,Rail,13059,0,0
2025-09-01,Kharagpur,Midnapore,Bus,8389,0,0
2025-09-01,Midnapore,Uluberia,Rail,13117,0,0
2025-09-01,Midnapore,Uluberia,Bus,7216,0,0
2025-09-01,Uluberia,Howrah,Rail,14379,0,0
2025-09-01,Uluberia,Howrah,Bus,8991,0,0
2025-09-01,Howrah,Kolkata,Rail,13860,0,0
2025-09-01,Howrah,Kolkata,Bus,6122,0,0
2025-09-02,Kharagpur,Midnapore,Rail,12760,0,0
2025-09-02,Kharagpur,Midnapore,Bus,7321,0,0
2025-09-02,Midnapore,Uluberia,Rail,14311,0,0
2025-09-02,Midnapore,Uluberia,Bus,7104,0,0
2025-09-02,Uluberia,Howrah,Rail,12397,0,0
2025-09-02,Uluberia,Howrah,Bus,7943,0,0
2025-09-02,Howrah,Kolkata,Rail,12569,0,0
2025-09-02,Howrah,Kolkata,Bus,5701,0,0
2025-09-03,Kharagpur,Midnapore,Rail,11848,0,0
2025-09-03,Kharagpur,Midnapore,Bus,6802,0,0
2025-09-03,Midnapore,Uluberia,Rail,15143,0,0
2025-09-03,Midnapore,Uluberia,Bus,5384,0,0
2025-09-03,Uluberia,Howrah,Rail,12714,0,0
2025-09-03,Uluberia,Howrah,Bus,8126,0,0
2025-09-03,Howrah,Kolkata,Rail,16081,0,0
2025-09-03,Howrah,Kolkata,Bus,5380,0,0
2025-09-04,Kharagpur,Midnapore,Rail,12698,0,0
2025-09-04,Kharagpur,Midnapore,Bus,8010,0,0
2025-09-04,Midnapore,Uluberia,Rail,13313,0,0
2025-09-04,Midnapore,Uluberia,Bus,6860,0,0
2025-09-04,Uluberia,Howrah,Rail,13129,0,0
2025-09-04,Uluberia,Howrah,Bus,7424,0,0
2025-09-04,Howrah,Kolkata,Rail,15052,0,0
2025-09-04,Howrah,Kolkata,Bus,6199,0,0
2025-09-05,Kharagpur,Midnapore,Rail,21723,1,0
2025-09-05,Kharagpur,Midnapore,Bus,15544,1,0
2025-09-05,Midnapore,Uluberia,Rail,27198,1,0
2025-09-05,Midnapore,Uluberia,Bus,9962,1,0
2025-09-05,Uluberia,Howrah,Rail,25896,1,0
2025-09-05,Uluberia,Howrah,Bus,11027,1,0
2025-09-05,Howrah,Kolkata,Rail,26795,1,0
2025-09-05,Howrah,Kolkata,Bus,12526,1,0
2025-09-06,Kharagpur,Midnapore,Rail,10343,0,1
2025-09-06,Kharagpur,Midnapore,Bus,6292,0,1
2025-09-06,Midnapore,Uluberia,Rail,11776,0,1
2025-09-06,Midnapore,Uluberia,Bus,5198,0,1
2025-09-06,Uluberia,Howrah,Rail,10724,0,1
2025-09-06,Uluberia,Howrah,Bus,7493,0,1
2025-09-06,Howrah,Kolkata,Rail,12978,0,1
2025-09-06,Howrah,Kolkata,Bus,5066,0,1
2025-09-07,Kharagpur,Midnapore,Rail,10659,0,1
2025-09-07,Kharagpur,Midnapore,Bus,7051,0,1
2025-09-07,Midnapore,Uluberia,Rail,12384,0,1
2025-09-07,Midnapore,Uluberia,Bus,5942,0,1
2025-09-07,Uluberia,Howrah,Rail,10592,0,1
2025-09-07,Uluberia,Howrah,Bus,6343,0,1
2025-09-07,Howrah,Kolkata,Rail,13226,0,1
2025-09-07,Howrah,Kolkata,Bus,5930,0,1
2025-09-08,Kharagpur,Midnapore,Rail,11987,0,0
2025-09-08,Kharagpur,Midnapore,Bus,8113,0,0
2025-09-08,Midnapore,Uluberia,Rail,14894,0,0
2025-09-08,Midnapore,Uluberia,Bus,6039,0,0
2025-09-08,Uluberia,Howrah,Rail,13356,0,0
2025-09-08,Uluberia,Howrah,Bus,7806,0,0
2025-09-08,Howrah,Kolkata,Rail,14837,0,0
2025-09-08,Howrah,Kolkata,Bus,7357,0,0
2025-09-09,Kharagpur,Midnapore,Rail,12495,0,0
2025-09-09,Kharagpur,Midnapore,Bus,8781,0,0
2025-09-09,Midnapore,Uluberia,Rail,14914,0,0
2025-09-09,Midnapore,Uluberia,Bus,6516,0,0
2025-09-09,Uluberia,Howrah,Rail,13443,0,0
2025-09-09,Uluberia,Howrah,Bus,7702,0,0
2025-09-09,Howrah,Kolkata,Rail,15243,0,0
2025-09-09,Howrah,Kolkata,Bus,6398,0,0
2025-09-10,Kharagpur,Midnapore,Rail,12058,0,0
2025-09-10,Kharagpur,Midnapore,Bus,8571,0,0
2025-09-10,Midnapore,Uluberia,Rail,13427,0,0
2025-09-10,Midnapore,Uluberia,Bus,8132,0,0
2025-09-10,Uluberia,Howrah,Rail,12346,0,0
2025-09-10,Uluberia,Howrah,Bus,6834,0,0
2025-09-10,Howrah,Kolkata,Rail,15869,0,0
2025-09-10,Howrah,Kolkata,Bus,7117,0,0
2025-09-11,Kharagpur,Midnapore,Rail,12374,0,0
2025-09-11,Kharagpur,Midnapore,Bus,8603,0,0
2025-09-11,Midnapore,Uluberia,Rail,13991,0,0
2025-09-11,Midnapore,Uluberia,Bus,5800,0,0
2025-09-11,Uluberia,Howrah,Rail,13049,0,0
2025-09-11,Uluberia,Howrah,Bus,7350,0,0
2025-09-11,Howrah,Kolkata,Rail,15731,0,0
2025-09-11,Howrah,Kolkata,Bus,6385,0,0
2025-09-12,Kharagpur,Midnapore,Rail,11505,0,0
2025-09-12,Kharagpur,Midnapore,Bus,7691,0,0
2025-09-12,Midnapore,Uluberia,Rail,14289,0,0
2025-09-12,Midnapore,Uluberia,Bus,6060,0,0
2025-09-12,Uluberia,Howrah,Rail,12466,0,0
2025-09-12,Uluberia,Howrah,Bus,8234,0,0
2025-09-12,Howrah,Kolkata,Rail,15184,0,0
2025-09-12,Howrah,Kolkata,Bus,6105,0,0
2025-09-13,Kharagpur,Midnapore,Rail,9960,0,1
2025-09-13,Kharagpur,Midnapore,Bus,6989,0,1
2025-09-13,Midnapore,Uluberia,Rail,11038,0,1
2025-09-13,Midnapore,Uluberia,Bus,4592,0,1
2025-09-13,Uluberia,Howrah,Rail,10653,0,1
2025-09-13,Uluberia,Howrah,Bus,6626,0,1
2025-09-13,Howrah,Kolkata,Rail,12948,0,1
2025-09-13,Howrah,Kolkata,Bus,6503,0,1
2025-09-14,Kharagpur,Midnapore,Rail,10637,0,1
2025-09-14,Kharagpur,Midnapore,Bus,6669,0,1
2025-09-14,Midnapore,Uluberia,Rail,11889,0,1
2025-09-14,Midnapore,Uluberia,Bus,4860,0,1
2025-09-14,Uluberia,Howrah,Rail,11040,0,1
2025-09-14,Uluberia,Howrah,Bus,6564,0,1
2025-09-14,Howrah,Kolkata,Rail,12956,0,1
2025-09-14,Howrah,Kolkata,Bus,4977,0,1
2025-09-15,Kharagpur,Midnapore,Rail,22161,1,0
2025-09-15,Kharagpur,Midnapore,Bus,17049,1,0
2025-09-15,Midnapore,Uluberia,Rail,25063,1,0
2025-09-15,Midnapore,Uluberia,Bus,12264,1,0
2025-09-15,Uluberia,Howrah,Rail,24207,1,0
2025-09-15,Uluberia,Howrah,Bus,13707,1,0
2025-09-15,Howrah,Kolkata,Rail,27303,1,0
2025-09-15,Howrah,Kolkata,Bus,11718,1,0
2025-09-16,Kharagpur,Midnapore,Rail,12059,0,0
2025-09-16,Kharagpur,Midnapore,Bus,7258,0,0
2025-09-16,Midnapore,Uluberia,Rail,14017,0,0
2025-09-16,Midnapore,Uluberia,Bus,6888,0,0
2025-09-16,Uluberia,Howrah,Rail,13943,0,0
2025-09-16,Uluberia,Howrah,Bus,8921,0,0
2025-09-16,Howrah,Kolkata,Rail,16615,0,0
2025-09-16,Howrah,Kolkata,Bus,5901,0,0
2025-09-17,Kharagpur,Midnapore,Rail,12523,0,0
2025-09-17,Kharagpur,Midnapore,Bus,8176,0,0
2025-09-17,Midnapore,Uluberia,Rail,15533,0,0
2025-09-17,Midnapore,Uluberia,Bus,5870,0,0
2025-09-17,Uluberia,Howrah,Rail,12454,0,0
2025-09-17,Uluberia,Howrah,Bus,7425,0,0
2025-09-17,Howrah,Kolkata,Rail,13407,0,0
2025-09-17,Howrah,Kolkata,Bus,6090,0,0
2025-09-18,Kharagpur,Midnapore,Rail,11545,0,0
2025-09-18,Kharagpur,Midnapore,Bus,8144,0,0
2025-09-18,Midnapore,Uluberia,Rail,14239,0,0
2025-09-18,Midnapore,Uluberia,Bus,7963,0,0
2025-09-18,Uluberia,Howrah,Rail,13618,0,0
2025-09-18,Uluberia,Howrah,Bus,7446,0,0
2025-09-18,Howrah,Kolkata,Rail,14326,0,0
2025-09-18,Howrah,Kolkata,Bus,6884,0,0
2025-09-19,Kharagpur,Midnapore,Rail,11208,0,0
2025-09-19,Kharagpur,Midnapore,Bus,9758,0,0
2025-09-19,Midnapore,Uluberia,Rail,14826,0,0
2025-09-19,Midnapore,Uluberia,Bus,6134,0,0
2025-09-19,Uluberia,Howrah,Rail,11886,0,0
2025-09-19,Uluberia,Howrah,Bus,9300,0,0
2025-09-19,Howrah,Kolkata,Rail,14914,0,0
2025-09-19,Howrah,Kolkata,Bus,7465,0,0
2025-09-20,Kharagpur,Midnapore,Rail,9387,0,1
2025-09-20,Kharagpur,Midnapore,Bus,6311,0,1
2025-09-20,Midnapore,Uluberia,Rail,11903,0,1
2025-09-20,Midnapore,Uluberia,Bus,5556,0,1
2025-09-20,Uluberia,Howrah,Rail,10801,0,1
2025-09-20,Uluberia,Howrah,Bus,7308,0,1
2025-09-20,Howrah,Kolkata,Rail,12069,0,1
2025-09-20,Howrah,Kolkata,Bus,5431,0,1
2025-09-21,Kharagpur,Midnapore,Rail,10261,0,1
2025-09-21,Kharagpur,Midnapore,Bus,7220,0,1
2025-09-21,Midnapore,Uluberia,Rail,12323,0,1
2025-09-21,Midnapore,Uluberia,Bus,4779,0,1
2025-09-21,Uluberia,Howrah,Rail,10202,0,1
2025-09-21,Uluberia,Howrah,Bus,7843,0,1
2025-09-21,Howrah,Kolkata,Rail,12962,0,1
2025-09-21,Howrah,Kolkata,Bus,5029,0,1
2025-09-22,Kharagpur,Midnapore,Rail,12931,0,0
2025-09-22,Kharagpur,Midnapore,Bus,8111,0,0
2025-09-22,Midnapore,Uluberia,Rail,14826,0,0
2025-09-22,Midnapore,Uluberia,Bus,6553,0,0
2025-09-22,Uluberia,Howrah,Rail,14339,0,0
2025-09-22,Uluberia,Howrah,Bus,9685,0,0
2025-09-22,Howrah,Kolkata,Rail,14813,0,0
2025-09-22,Howrah,Kolkata,Bus,7258,0,0
2025-09-23,Kharagpur,Midnapore,Rail,12387,0,0
2025-09-23,Kharagpur,Midnapore,Bus,9314,0,0
2025-09-23,Midnapore,Uluberia,Rail,13325,0,0
2025-09-23,Midnapore,Uluberia,Bus,7035,0,0
2025-09-23,Uluberia,Howrah,Rail,13688,0,0
2025-09-23,Uluberia,Howrah,Bus,6312,0,0
2025-09-23,Howrah,Kolkata,Rail,14113,0,0
2025-09-23,Howrah,Kolkata,Bus,4909,0,0
2025-09-24,Kharagpur,Midnapore,Rail,11838,0,0
2025-09-24,Kharagpur,Midnapore,Bus,8689,0,0
2025-09-24,Midnapore,Uluberia,Rail,15052,0,0
2025-09-24,Midnapore,Uluberia,Bus,6558,0,0
2025-09-24,Uluberia,Howrah,Rail,14059,0,0
2025-09-24,Uluberia,Howrah,Bus,6675,0,0
2025-09-24,Howrah,Kolkata,Rail,13722,0,0
2025-09-24,Howrah,Kolkata,Bus,6457,0,0
2025-09-25,Kharagpur,Midnapore,Rail,12230,0,0
2025-09-25,Kharagpur,Midnapore,Bus,7969,0,0
2025-09-25,Midnapore,Uluberia,Rail,12553,0,0
2025-09-25,Midnapore,Uluberia,Bus,6430,0,0
2025-09-25,Uluberia,Howrah,Rail,12152,0,0
2025-09-25,Uluberia,Howrah,Bus,8643,0,0
2025-09-25,Howrah,Kolkata,Rail,15275,0,0
2025-09-25,Howrah,Kolkata,Bus,5767,0,0
2025-09-26,Kharagpur,Midnapore,Rail,11692,0,0
2025-09-26,Kharagpur,Midnapore,Bus,6983,0,0
2025-09-26,Midnapore,Uluberia,Rail,13956,0,0
2025-09-26,Midnapore,Uluberia,Bus,7245,0,0
2025-09-26,Uluberia,Howrah,Rail,12359,0,0
2025-09-26,Uluberia,Howrah,Bus,8484,0,0
2025-09-26,Howrah,Kolkata,Rail,14602,0,0
2025-09-26,Howrah,Kolkata,Bus,5882,0,0
2025-09-27,Kharagpur,Midnapore,Rail,10145,0,1
2025-09-27,Kharagpur,Midnapore,Bus,5955,0,1
2025-09-27,Midnapore,Uluberia,Rail,11571,0,1
2025-09-27,Midnapore,Uluberia,Bus,4731,0,1
2025-09-27,Uluberia,Howrah,Rail,12136,0,1
2025-09-27,Uluberia,Howrah,Bus,6829,0,1
2025-09-27,Howrah,Kolkata,Rail,12304,0,1
2025-09-27,Howrah,Kolkata,Bus,5667,0,1
2025-09-28,Kharagpur,Midnapore,Rail,10143,0,1
2025-09-28,Kharagpur,Midnapore,Bus,6620,0,1
2025-09-28,Midnapore,Uluberia,Rail,12265,0,1
2025-09-28,Midnapore,Uluberia,Bus,6027,0,1
2025-09-28,Uluberia,Howrah,Rail,10757,0,1
